구 분,기초,재무현금흐름,비현금흐름 | 리스신규계약,비현금흐름 | 기타(*),기말
단기차입금,2381512.0,3274337.0,0.0,-30686.0,5625163.0
사채 및 장기차입금,815644.0,21804684.0,567652.0,-38390.0,23149590.0
계,3197156.0,25079021.0,567652.0,-69076.0,28774753.0
