구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,1866.0,642700.0,22135.0,569312.0,1236013.0
일반취득,3712.0,863062.0,1728.0,4554.0,873056.0
감가상각,-1003.0,-189855.0,-16057.0,-40749.0,-247664.0
계약의 해지,0.0,-20500.0,0.0,-234.0,-20734.0
기타,0.0,-114.0,336.0,20.0,242.0
기말장부금액,4575.0,1295293.0,8142.0,532903.0,1840913.0
