구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
채권액,27421756.0,1927564.0,20720707.0,2945898.0
차감: 손실충당금,-58740.0,-6230.0,-56432.0,-6387.0
소 계,27363016.0,1921334.0,20664275.0,2939511.0
차감: 장기 채권,0.0,-11280.0,-161052.0,-14505.0
유동항목,27363016.0,1910054.0,20503223.0,2925006.0
