구 분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,49439.0,468830.0
관계기업 및 공동기업,삼성전기㈜,385.0,101960.0
관계기업 및 공동기업,삼성SDI㈜,114618.0,51199.0
관계기업 및 공동기업,㈜제일기획,43.0,444017.0
관계기업 및 공동기업,기타,203575.0,159668.0
관계기업 및 공동기업,계,368060.0,1225674.0
그 밖의 특수관계자,삼성물산㈜,194539.0,2718294.0
그 밖의 특수관계자,기타,14679.0,160305.0
그 밖의 특수관계자,계,209218.0,2878599.0
기타(*3),삼성엔지니어링㈜,286.0,1181947.0
기타(*3),㈜에스원,3085.0,59352.0
기타(*3),기타,4113.0,478136.0
기타(*3),계,7484.0,1719435.0
