구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,201224.0,-201224.0,77795.0,-77795.0
EUR,-25356.0,25356.0,-53114.0,53114.0
