구 분,차입처,만기일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
단기차입금:,단기차입금:,단기차입금:,,단기차입금:,단기차입금:
담보부차입금(*1),우리은행 등,0.0,,5625163.0,2381512.0
유동성장기차입금:,유동성장기차입금:,유동성장기차입금:,,유동성장기차입금:,유동성장기차입금:
리스부채(*2),-,0.0,2.9,222137.0,129525.0
장기차입금:,장기차입금:,장기차입금:,,장기차입금:,장기차입금:
리스부채(*2),-,0.0,2.9,912035.0,654979.0
무담보차입금,삼성디스플레이㈜,2025.08.16,4.6,21990000.0,0.0
계,,nan,,22902035.0,654979.0
