해외종속기업,보증처,보증종료일,당기말 | 관련 차입금,당기말 | 채무보증한도
SETK,BNP 외,2024-12-16,413744.0,1182380.0
SEMAG,SocGen 외,2024-12-16,10399.0,123782.0
기타,기타,-,0.0,9176026.0
계,,,"424,143 (US$ 328,958천)","10,482,188 (US$ 8,129,508천)"
