구 분,당기말 | 평가전금액,당기말 | 평가충당금,당기말 | 장부금액,전기말 | 평가전금액,전기말 | 평가충당금,전기말 | 장부금액
제품 및 상품,7914117.0,-1203662.0,6710455.0,8589879.0,-956427.0,7633452.0
반제품 및 재공품,21866523.0,-3863881.0,18002642.0,16738121.0,-1216059.0,15522062.0
원재료 및 저장품,4910170.0,-861821.0,4048349.0,4891951.0,-492006.0,4399945.0
미착품,576705.0,0.0,576705.0,434548.0,0.0,434548.0
계,35267515.0,-5929364.0,29338151.0,30654499.0,-2664492.0,27990007.0
