구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
연체되지 않은 채권,26584115.0,1747904.0,19948076.0,2237287.0
연체된 채권:,,,,
31일 이하(*),430299.0,142166.0,581231.0,651489.0
31일 초과 90일 이하,252998.0,7893.0,89722.0,30611.0
90일 초과,154344.0,29601.0,101678.0,26511.0
소 계,837641.0,179660.0,772631.0,708611.0
계,27421756.0,1927564.0,20720707.0,2945898.0
