구 분,유리한 변동 효과 | 당기손익,유리한 변동 효과 | 자본,불리한 변동 효과 | 당기손익,불리한 변동 효과 | 자본
기타포괄손익-공정가치금융자산(*1),0.0,2792.0,0.0,-2458.0
기타(*2),97309.0,0.0,-96785.0,0.0
