구 분,산업재산권,개발비,회원권,기타,계
기초장부금액,1226241.0,236910.0,195135.0,6999170.0,8657456.0
개별 취득,232768.0,0.0,5795.0,2315598.0,2554161.0
상각,-217808.0,-151892.0,0.0,-2235367.0,-2605067.0
처분ㆍ폐기,-47915.0,0.0,-197.0,0.0,-48112.0
손상(환입),0.0,0.0,-863.0,0.0,-863.0
기타,0.0,0.0,0.0,3849.0,3849.0
기말장부금액,1193286.0,85018.0,199870.0,7083250.0,8561424.0
