금융자산,상각후원가 측정 금융자산,기타포괄손익-공정 가치 측정 금융자산,당기손익-공정가치 측정 금융자산,계
평가손익(기타포괄손익),0.0,356472.0,0.0,356472.0
평가ㆍ처분손익(당기손익),0.0,0.0,365387.0,365387.0
이자수익,371106.0,0.0,0.0,371106.0
외환차이(당기손익),-216145.0,0.0,0.0,-216145.0
배당금수익,0.0,4081.0,637.0,4718.0
손상(환입),-2113.0,0.0,0.0,-2113.0
