구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),"기타 (라),(마)",계
기초,587665.0,1546606.0,549181.0,2799204.0,5482656.0
순전입(환입),815216.0,573194.0,348381.0,2052943.0,3789734.0
사용,-728930.0,-299250.0,-183843.0,-1111233.0,-2323256.0
기타,0.0,-4612.0,0.0,9313.0,4701.0
기말,673951.0,1815938.0,713719.0,3750227.0,6953835.0
