구 분,공정가치,가치평가기법,'수준 3' 투입변수,투입변수 범위
기타포괄손익-공정가치금융자산:,기타포괄손익-공정가치금융자산:,기타포괄손익-공정가치금융자산:,기타포괄손익-공정가치금융자산:,
삼성벤처투자㈜,32286.0,현금흐름할인법,영구성장률,1.0
삼성벤처투자㈜,32286.0,현금흐름할인법,가중평균자본비용,17.1
㈜미코세라믹스,33973.0,현금흐름할인법 등,영구성장률,0.0
㈜미코세라믹스,33973.0,현금흐름할인법 등,가중평균자본비용,15.8
기타,기타,기타,기타,
지분 콜옵션,393235.0,이항모형,무위험 이자율,3.2
지분 콜옵션,393235.0,이항모형,가격 변동성,69.5
