구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,64853.0,218158.0
종속기업,"Samsung Electronics America, Inc. (SEA)",4440842.0,637861.0
종속기업,Samsung Asia Pte. Ltd. (SAPL),1817.0,1301.0
종속기업,Samsung Austin Semiconductor LLC. (SAS),7277.0,584322.0
종속기업,"Samsung Semiconductor, Inc. (SSI)",11910574.0,340273.0
종속기업,Harman과 그 종속기업(*2),8749.0,20906.0
종속기업,"Samsung (China) Semiconductor Co., Ltd. (SCS)",59706.0,970717.0
종속기업,"Samsung (CHINA) Investment Co., Ltd. (SCIC)",190954.0,363362.0
종속기업,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)",833617.0,2620106.0
종속기업,Samsung India Electronics Private Ltd. (SIEL),696280.0,430196.0
종속기업,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),3256.0,0.0
종속기업,"Samsung Electronics Vietnam Co., Ltd. (SEV)",513163.0,2010992.0
종속기업,"Samsung Display Vietnam Co., Ltd. (SDV)",97479.0,362.0
종속기업,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",4859048.0,82.0
종속기업,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)",137456.0,620008.0
종속기업,Samsung Eletronica da Amazonia Ltda. (SEDA),271048.0,9157.0
종속기업,Samsung Electronics (UK) Ltd. (SEUK),93808.0,30843.0
종속기업,"Thai Samsung Electronics Co., Ltd. (TSE)",98027.0,262109.0
종속기업,"Samsung International, Inc. (SII)",167656.0,212535.0
종속기업,"Samsung Electronics Taiwan Co., Ltd. (SET)",388807.0,69362.0
종속기업,세메스㈜,81448.0,699286.0
종속기업,Samsung Electronics GmbH (SEG),16599.0,95727.0
종속기업,Samsung Electronics Mexico S.A. De C.V. (SEM),88572.0,2064.0
종속기업,Samsung Electronics Europe Logistics B.V. (SELS),424204.0,244987.0
종속기업,Samsung Electronics Benelux B.V. (SEBN),23398.0,7495.0
종속기업,기타,6759498.0,3156728.0
종속기업,계,32238136.0,13608939.0
