구 분,구 분_2,당기,전기
배당받은주식,보통주,"123,958,561주","129,312,651주"
배당받은주식,우선주,"17,580,920주","19,603,734주"
배당률(액면가 기준),,20%,20%
배당금액,보통주,123958.0,129313.0
배당금액,우선주,17581.0,19603.0
배당금액,계,141539.0,148916.0
