구분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산,,금융자산,,금융자산
현금및현금성자산,3778371.0,(*1),3062960.0,(*1)
단기금융상품,30170656.0,(*1),27763589.0,(*1)
단기매도가능금융자산,0.0,-,3021210.0,3021210
매출채권,23514012.0,(*1),20251464.0,(*1)
장기매도가능금융자산(*2),913989.0,821478,3205283.0,3205283
기타(*3),3416654.0,361226,3847347.0,515317
소계,61793682.0,,61151853.0,
금융부채,,금융부채,,금융부채
매입채무,6162650.0,(*1),3887983.0,(*1)
단기차입금,9061167.0,(*1),7127527.0,(*1)
미지급금,7519413.0,(*1),5834965.0,(*1)
유동성장기부채,5854.0,(*1),5666.0,(*1)
사채,58542.0,76129,62326.0,93661
장기미지급금,2585366.0,2587619,2163903.0,2026498
기타,6037993.0,(*1),3335895.0,(*1)
소계,31430985.0,,22418265.0,
