구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스,36930.0,0.0,1403488.0,159494.0
관계기업 및 공동기업,삼성전기,14946.0,23.0,844338.0,0.0
관계기업 및 공동기업,삼성SDI(*1),44777.0,397.0,282032.0,16210.0
관계기업 및 공동기업,제일기획(*2),466.0,0.0,212393.0,0.0
관계기업 및 공동기업,기타,201760.0,113.0,374384.0,3793.0
관계기업 및 공동기업,관계기업 및 공동기업 계,298879.0,533.0,3116635.0,179497.0
그 밖의 특수관계자,삼성물산(*3),39780.0,74.0,187615.0,2662091.0
그 밖의 특수관계자,기타,207580.0,1557589.0,326894.0,50833.0
그 밖의 특수관계자,그 밖의 특수관계자 계,247360.0,1557663.0,514509.0,2712924.0
기타(*4),삼성엔지니어링,15465.0,0.0,15733.0,1078940.0
기타(*4),에스원,23670.0,0.0,257397.0,23459.0
기타(*4),기타,46945.0,83298.0,608229.0,60.0
기타(*4),기타 계,86080.0,83298.0,881359.0,1102459.0
