계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,-7368.0,7000.0,-368.0,-1783.0,1694.0,-89.0
토지재평가,-3455958.0,11704.0,-3444254.0,-836342.0,2832.0,-833510.0
"종속기업, 관계기업 및 공동기업 투자",-3051440.0,-573017.0,-3624457.0,-591713.0,15975.0,-575738.0
감가상각누계액 등,48262.0,-5590.0,42672.0,11679.0,-1353.0,10326.0
미수수익,-243034.0,7145.0,-235889.0,-58814.0,1729.0,-57085.0
충당부채 및 미지급비용 등,8257353.0,-589439.0,7667914.0,1998279.0,-142644.0,1855635.0
외화평가조정,138267.0,-97203.0,41064.0,33461.0,-23523.0,9938.0
자산손상,402244.0,568937.0,971181.0,97343.0,137683.0,235026.0
퇴직급여,-2304845.0,489850.0,-1814995.0,-557772.0,118543.0,-439229.0
분할시투자주식평가증(*),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,1553459.0,-3132876.0,-1579417.0,443657.0,-762186.0,-318529.0
소 계,11923762.0,-3313489.0,8610273.0,537995.0,-651250.0,-113255.0
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,70363.0,-4083.0,66280.0,66000.0,-6064.0,59936.0
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,-819560.0,556170.0,-263390.0,-198334.0,134594.0,-63740.0
보험수리적평가,1901826.0,-962578.0,939248.0,460242.0,-232944.0,227298.0
소 계,1082266.0,-406408.0,675858.0,261908.0,-98350.0,163558.0
,,,,,,110239.0
