구 분,구 분_2,당기,전기
배당받을주식,보통주,"122,697,651주","127,396,848주"
배당받을주식,우선주,"17,283,734주","18,547,833주"
배당률(액면가 기준),보통주,550%,400%
배당률(액면가 기준),우선주,551%,401%
배당금액,보통주,3374185.0,2547937.0
배당금액,우선주,476167.0,371884.0
배당금액,계,3850352.0,2919821.0
