금융자산,당기,전기
기초잔액,88213.0,181984.0
매입,0.0,9554.0
매도 등,0.0,-2661.0
당기손익으로 인식된 손익,0.0,0.0
기타포괄손익으로 인식된 손익,718.0,-613.0
기타,-65146.0,-100051.0
기말잔액,23785.0,88213.0
