구 분,당기말 | 보통주,당기말 | 우선주,전기말 | 보통주,전기말 | 우선주
주식수,17981686.0,3229693.0,19902489.0,4285594.0
취득가액,8871509.0,878817.0,11377539.0,2064840.0
