해외종속기업,보증처,보증기간,금액 | 실차입금,금액 | 지급보증금액
Samsung Electronics America(SEA),SMBC 외,2017-12-16,1208500.0,2930613.0
Samsung Electronics Turkey(SETK),BTMU 외,2017-12-16,227037.0,713015.0
Samsung Electronics Digital Appliance Mexico(SEDAM),Citibank 외,2017-12-16,122452.0,472524.0
Samsung Electronics South Africa(SSA),Citibank 외,2017-12-16,41484.0,404848.0
Samsung Electronics Peru(SEPR),BBVA 외,2017-12-16,83071.0,217530.0
Samsung Electronica Colombia(SAMCOL),Citibank 외,2017-12-16,101012.0,188526.0
Samsung Electronics Poland Manufacturing(SEPM),HSBC,2017-06-13,104982.0,151063.0
Simpress,BNP,2017-11-08,53813.0,72510.0
Samsung Electronics South Africa Production(SSAP),SCB,2017-11-08,12426.0,36255.0
기타,,,0.0,6214287.0
합계,,,1954777.0,11401171.0
