구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,212384.0,20482.0,195985.0,9313.0
대손상각(환입),48063.0,-3949.0,17479.0,12164.0
제각,-233.0,-45.0,-1573.0,-1017.0
기타,-2445.0,-141.0,493.0,22.0
기말,257769.0,16347.0,212384.0,20482.0
