과 목,주석,제 48 (당) 기,제 48 (당) 기_2,제 47 (전) 기,제 47 (전) 기_2
Ⅰ. 영업활동 현금흐름,,,23984804.0,,19287521.0
1. 영업에서 창출된 현금흐름,,24901464.0,,19756969.0,
가. 당기순이익,,11579749.0,,12238469.0,
나. 조정,30.0,14910093.0,,13087462.0,
다. 영업활동으로 인한 자산부채의 변동,30.0,-1588378.0,,-5568962.0,
2. 이자의 수취,,622118.0,,890456.0,
3. 이자의 지급,,-208010.0,,-153195.0,
4. 배당금 수입,,903758.0,,1914856.0,
5. 법인세 납부액,,-2234526.0,,-3121565.0,
Ⅱ. 투자활동 현금흐름,,,-14240450.0,,-14003962.0
1. 단기금융상품의 순증가,,-1407068.0,,-2309495.0,
2. 단기매도가능금융자산의 처분,,3010003.0,,2143384.0,
3. 장기금융상품의 처분,,700000.0,,1700000.0,
4. 장기금융상품의 취득,,-1700000.0,,0.0,
5. 장기매도가능금융자산의 처분,,692547.0,,78885.0,
6. 장기매도가능금융자산의 취득,,-477744.0,,-17303.0,
"7. 종속기업, 관계기업 및 공동기업 투자의 처분",,2416678.0,,311310.0,
"8. 종속기업, 관계기업 및 공동기업 투자의 취득",,-4648008.0,,-2334935.0,
9. 유형자산의 처분,,335288.0,,473836.0,
10. 유형자산의 취득,,-12161084.0,,-12887965.0,
11. 무형자산의 처분,,6357.0,,990.0,
12. 무형자산의 취득,,-1046676.0,,-1365674.0,
13. 현금의 기타유입,,39257.0,,203005.0,
Ⅲ. 재무활동 현금흐름,,,-9037006.0,,-3854887.0
1. 단기차입금의 순증가,,1737871.0,,4236095.0,
2. 자기주식의 취득,,-7707938.0,,-5015112.0,
3. 자기주식의 처분,,0.0,,3034.0,
4. 사채의 상환,,-5860.0,,-5496.0,
5. 배당금의 지급,,-3061079.0,,-3073408.0,
Ⅳ. 외화환산으로 인한 현금의 변동,,,8063.0,,-9030.0
Ⅴ. 현금및현금성자산의 증가 (Ⅰ+Ⅱ+Ⅲ),,,715411.0,,1419642.0
Ⅵ. 기초의 현금및현금성자산,,,3062960.0,,1643318.0
Ⅶ. 기말의 현금및현금성자산,,,3778371.0,,3062960.0
