구 분,유통보통주식수,유통우선주식수
전기초,130204596.0,19722484.0
- 주식선택권의 행사로  인한 자기주식의 처분,5000.0,0.0
- 자기주식 취득,-2812748.0,-1174651.0
전기말,127396848.0,18547833.0
당기초,127396848.0,18547833.0
- 자기주식 취득,-4699197.0,-1264099.0
당기말,122697651.0,17283734.0
