구분,삼성카드,삼성전기,삼성에스디에스,삼성바이오로직스
수익(매출),3302194.0,6176258.0,7853459.0,91278.0
계속영업이익(*),333724.0,312773.0,439020.0,1920179.0
세후중단영업손실(*),0.0,-301585.0,0.0,0.0
기타포괄손익(*),79656.0,-138445.0,70670.0,-8315.0
총포괄손익(*),413380.0,-127257.0,509690.0,1911864.0
