구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,639243.0,2640.0,2468945.0,0.0
종속기업,Samsung Electronics America(SEA),28949787.0,0.0,271891.0,0.0
종속기업,Samsung (China) Investment(SCIC),538430.0,0.0,9039.0,0.0
종속기업,Samsung (China) Semiconductor(SCS),146678.0,159132.0,2610462.0,3093.0
종속기업,Samsung Semiconductor(SSI),17045585.0,0.0,278526.0,0.0
종속기업,Samsung Electronics Vietnam(SEV),3009245.0,2366.0,8167472.0,133.0
종속기업,Samsung Electronics Europe Holding(SEEH),1167.0,0.0,0.0,0.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),2372753.0,13415.0,9318599.0,69.0
종속기업,Samsung Electronics Huizhou(SEHZ),2159283.0,110.0,11362618.0,157.0
종속기업,Samsung Austin Semiconductor(SAS),695.0,11668.0,3052409.0,10629.0
종속기업,Samsung Asia Private(SAPL),1355515.0,0.0,8353.0,0.0
종속기업,Shanghai Samsung Semiconductor(SSS),8717379.0,0.0,0.0,0.0
종속기업,Samsung India Electronics(SIEL),2635630.0,1809.0,190986.0,0.0
종속기업,Samsung Electronica da Amazonia(SEDA),955467.0,41.0,11440.0,80.0
종속기업,Samsung Suzhou LCD(SSL),21155.0,0.0,0.0,0.0
종속기업,Tianjin Samsung Telecom Technology(TSTC),866538.0,0.0,5141613.0,1615.0
종속기업,Samsung Electronics Europe Logistics(SELS),3904676.0,10.0,9253.0,0.0
종속기업,Thai Samsung Electronics(TSE),2008447.0,0.0,1417518.0,34.0
종속기업,Samsung Electronics Slovakia(SESK),474803.0,0.0,4615.0,0.0
종속기업,Samsung Electronics GmbH(SEG),3131187.0,0.0,35322.0,0.0
종속기업,Samsung Display Dongguan(SDD),362217.0,0.0,0.0,0.0
종속기업,Samsung Electronics Benelux(SEBN),284625.0,0.0,0.0,0.0
종속기업,Samsung Electronics Hungarian(SEH),303712.0,0.0,1117.0,0.0
종속기업,Samsung Electronics Taiwan(SET),2717071.0,0.0,1270.0,0.0
종속기업,Samsung Electronics (UK)(SEUK),548949.0,0.0,61348.0,0.0
종속기업,기타,35451296.0,28605.0,21698086.0,24308.0
종속기업,종속기업 계,118601533.0,219796.0,66120882.0,40118.0
