0,1,2,3,4,5,6,7,8,9
구 분,내 역,내 역,내 역,내 역,내 역,내 역,내 역,내 역,내 역
전반감사계획 (감사착수단계),수행시기,2016.5.3 ~ 6.3 2016.9.26 ~ 10.7 2017.1.3 ~ 1.7,2016.5.3 ~ 6.3 2016.9.26 ~ 10.7 2017.1.3 ~ 1.7,2016.5.3 ~ 6.3 2016.9.26 ~ 10.7 2017.1.3 ~ 1.7,2016.5.3 ~ 6.3 2016.9.26 ~ 10.7 2017.1.3 ~ 1.7,2016.5.3 ~ 6.3 2016.9.26 ~ 10.7 2017.1.3 ~ 1.7,39,일,일
전반감사계획 (감사착수단계),주요내용,"감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정"
현장감사 주요내용,수행시기,수행시기,수행시기,투입인원,투입인원,투입인원,투입인원,주요 감사업무 수행내용,주요 감사업무 수행내용
현장감사 주요내용,수행시기,수행시기,수행시기,상주,상주,비상주,비상주,주요 감사업무 수행내용,주요 감사업무 수행내용
현장감사 주요내용,2016.6.22 ~ 7.29,28,일,32,명,10,명,시스템 및 내부통제감사,시스템 및 내부통제감사
현장감사 주요내용,2016.12.5 ~ 12.23,15,일,32,명,12,명,조기입증감사,조기입증감사
현장감사 주요내용,2017.1.4 ~ 1.23,14,일,40,명,12,명,조회확인 등 입증절차 업데이트,조회확인 등 입증절차 업데이트
현장감사 주요내용,2017.1.24 ~ 2.27,25,일,21,명,11,명,재무제표검증 및 감사종결절차 수행,재무제표검증 및 감사종결절차 수행
재고자산실사(입회),실사(입회)시기,2016.11.30 ~ 12.1,2016.11.30 ~ 12.1,2016.11.30 ~ 12.1,2016.11.30 ~ 12.1,2016.11.30 ~ 12.1,2,일,일
재고자산실사(입회),실사(입회)장소,"수원, 기흥, 구미, 광주 사업장 등","수원, 기흥, 구미, 광주 사업장 등","수원, 기흥, 구미, 광주 사업장 등","수원, 기흥, 구미, 광주 사업장 등","수원, 기흥, 구미, 광주 사업장 등","수원, 기흥, 구미, 광주 사업장 등","수원, 기흥, 구미, 광주 사업장 등","수원, 기흥, 구미, 광주 사업장 등"
재고자산실사(입회),실사(입회)대상,"원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등"
금융자산실사(입회),실사(입회)시기,2017.1.3 ~ 1.4,2017.1.3 ~ 1.4,2017.1.3 ~ 1.4,2017.1.3 ~ 1.4,2017.1.3 ~ 1.4,2,일,일
금융자산실사(입회),실사(입회)장소,"태평로, 기흥 사업장 등","태평로, 기흥 사업장 등","태평로, 기흥 사업장 등","태평로, 기흥 사업장 등","태평로, 기흥 사업장 등","태평로, 기흥 사업장 등","태평로, 기흥 사업장 등","태평로, 기흥 사업장 등"
금융자산실사(입회),실사(입회)대상,"현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등"
외부조회,금융거래조회,O,O,채권채무조회,채권채무조회,채권채무조회,O,변호사조회,O
외부조회,기타조회,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등
지배기구와의 커뮤니케이션,커뮤니케이션 횟수,4,4,회,회,회,회,회,회
지배기구와의 커뮤니케이션,수행시기,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23,2016.4.27 / 2016.7.27 / 2016.10.26 / 2017.1.23
