구분,기업명,채권 등,채무 등
종속기업,삼성디스플레이,26017.0,105445.0
종속기업,Samsung Electronics America(SEA),4200871.0,430475.0
종속기업,Samsung (China) Investment(SCIC),50354.0,1006.0
종속기업,Samsung (China) Semiconductor(SCS),51611.0,320006.0
종속기업,Samsung Electronics Vietnam(SEV),381759.0,1902614.0
종속기업,Samsung Electronics Europe Holding(SEEH),1447.0,36.0
종속기업,Samsung Semiconductor(SSI),3123618.0,98931.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),749996.0,650219.0
종속기업,Samsung Electronics Huizhou(SEHZ),151613.0,1123574.0
종속기업,Shanghai Samsung Semiconductor(SSS),3448765.0,840.0
종속기업,Samsung Asia Private(SAPL),54231.0,12350.0
종속기업,Samsung Electronica da Amazonia(SEDA),162997.0,1445.0
종속기업,Samsung Austin Semiconductor(SAS),37391.0,298150.0
종속기업,Samsung India Electronics(SIEL),1056157.0,14177.0
종속기업,Samsung Display Vietnam(SDV),40894.0,0.0
종속기업,Samsung Electronics Europe Logistics(SELS),1284610.0,2283.0
종속기업,Samsung Suzhou LCD(SSL),4855.0,0.0
