기업명,관계기업과의 관계의 성격,지분율(%)(*1),주사업장
삼성전기,"수동소자, 회로부품, 모듈 등 전자부품의 생산 및 공급",23.7,한국
삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업 등 IT서비스 제공",22.6,한국
삼성바이오로직스,신사업 투자,31.5,한국
삼성SDI(*2),2차전지 등 전자제품의 생산 및 공급,19.6,한국
제일기획,광고 대행업,25.2,한국
