구분,삼성카드(*),삼성전기,삼성에스디에스,삼성바이오로직스
유동자산,19070997.0,2729971.0,3845289.0,192854.0
비유동자산,19070997.0,4539482.0,2486390.0,5767640.0
유동부채,12382672.0,1768254.0,1389915.0,1911669.0
비유동부채,12382672.0,1185816.0,164913.0,1273991.0
순자산,6688325.0,4315383.0,4776851.0,2774834.0
