기업명,당기말 | 보유주식수(주),당기말 | 지분율(%),당기말 | 취득원가,당기말 | 장부가액(*2),전기말 | 장부가액
기협기술금융,1000000.0,17.2,5000.0,5000.0,5000.0
부산신항만(*1),0.0,,0.0,0.0,5677.0
삼성벤처투자,980000.0,16.3,4900.0,7515.0,7207.0
말타니(구 태원전기산업),45000.0,15.0,16544.0,16270.0,15860.0
기타,,,148968.0,83290.0,54469.0
계,,,175412.0,112075.0,88213.0
