구 분,구 분_2,당기,전기
배당받을주식,보통주,"127,396,848주","130,204,596주"
배당받을주식,우선주,"18,547,833주","19,722,484주"
배당률(액면가 기준),보통주,400%,390%
배당률(액면가 기준),우선주,401%,391%
배당금액,보통주,2547937.0,2538990.0
배당금액,우선주,371884.0,385574.0
배당금액,계,2919821.0,2924564.0
