구 분,당기말 | 보통주,당기말 | 우선주,전기말 | 보통주,전기말 | 우선주
주식수,19902489.0,4285594.0,17094741.0,3110943.0
취득가액,11377539.0,2064840.0,7673549.0,755764.0
