구 분,구 분_2,당기,전기
배당받은주식,보통주,"129,312,651주","130,962,651주"
배당받은주식,우선주,"19,603,734주","19,853,734주"
배당률(액면가 기준),,20%,10%
배당금액,보통주,129313.0,65481.0
배당금액,우선주,19603.0,9927.0
배당금액,계,148916.0,75408.0
