구 분,발행일,만기상환일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
US$ denominated  Straight Bonds,1997.10.2,2027.10.1,7.7,"70,320 (US$60,000천)","71,448 (US$65,000천)"
1년이내 만기도래분,1년이내 만기도래분,1년이내 만기도래분,,-5860.0,-5496.0
사채할인발행차금,사채할인발행차금,사채할인발행차금,,-2134.0,-2304.0
계,계,계,,62326.0,63648.0
