구분,삼성카드(*),삼성전기,삼성에스디에스
유동자산,17736627.0,3553987.0,3228074.0
비유동자산,17736627.0,4164625.0,2317971.0
유동부채,11346281.0,2151002.0,1117969.0
비유동부채,11346281.0,924814.0,214051.0
순자산,6390346.0,4642796.0,4214025.0
