금융자산,대여금 및 수취채권,매도가능금융자산,계
현금및현금성자산,3062960.0,0.0,3062960.0
단기금융상품,27763589.0,0.0,27763589.0
단기매도가능금융자산,0.0,3021210.0,3021210.0
매출채권,20251464.0,0.0,20251464.0
장기매도가능금융자산,0.0,3205283.0,3205283.0
기타,3847347.0,0.0,3847347.0
계,54925360.0,6226493.0,61151853.0
