구 분,산업재산권,개발비,회원권,영업권,기타의 무형자산,계
기초장부가액,925734.0,1239933.0,149712.0,79277.0,656908.0,3051564.0
내부개발에 의한 취득,0.0,1143059.0,0.0,0.0,0.0,1143059.0
개별 취득,198655.0,0.0,1929.0,0.0,22031.0,222615.0
상각,-151607.0,-607526.0,0.0,0.0,-241405.0,-1000538.0
처분/폐기,-22036.0,0.0,-48.0,0.0,-364.0,-22448.0
손상,0.0,-76703.0,0.0,-79277.0,0.0,-155980.0
기타,-247.0,-1218.0,0.0,0.0,170422.0,168957.0
기말장부가액,950499.0,1697545.0,151593.0,0.0,607592.0,3407229.0
