구 분,당기말 | 평가전금액,당기말 | 평가충당금,당기말 | 장부가액,전기말 | 평가전금액,전기말 | 평가충당금,전기말 | 장부가액
제품 및 상품,1597328.0,-77409.0,1519919.0,1003347.0,-61090.0,942257.0
반제품 및 재공품,4070557.0,-226609.0,3843948.0,3544921.0,-364146.0,3180775.0
원재료 및 저장품,1229839.0,-189989.0,1039850.0,1371893.0,-226386.0,1145507.0
미착품,174395.0,0.0,174395.0,285295.0,0.0,285295.0
계,7072119.0,-494007.0,6578112.0,6205456.0,-651622.0,5553834.0
