계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,-27785.0,13417.0,-14368.0,-6724.0,3247.0,-3477.0
토지재평가,-3476104.0,412.0,-3475692.0,-841217.0,100.0,-841117.0
"종속기업, 관계기업 및 공동기업 투자",-3461074.0,327740.0,-3133334.0,-685444.0,61036.0,-624408.0
감가상각누계액 등,63462.0,4711.0,68173.0,15358.0,1140.0,16498.0
미수수익,-318375.0,-91047.0,-409422.0,-77047.0,-22033.0,-99080.0
충당부채 및 미지급비용 등,8037743.0,-321840.0,7715903.0,1945134.0,-77886.0,1867248.0
외화평가조정,-198655.0,293429.0,94774.0,-48074.0,71009.0,22935.0
자산손상,166030.0,164447.0,330477.0,40179.0,39796.0,79975.0
퇴직급여,-750604.0,-2265447.0,-3016051.0,-181646.0,-548238.0,-729884.0
분할시투자주식평가증(*),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,-12025815.0,9772217.0,-2253598.0,-2841936.0,2368697.0,-473239.0
소 계,-1404355.0,7898039.0,6493684.0,-2681417.0,1896868.0,-784549.0
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,880313.0,-546604.0,333709.0,921168.0,-634775.0,286393.0
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,-2244941.0,599070.0,-1645871.0,-543276.0,144975.0,-398301.0
보험수리적평가,1443613.0,755110.0,2198723.0,349354.0,182737.0,532091.0
소 계,-801328.0,1354180.0,552852.0,-193922.0,327712.0,133790.0
,,,,,,-364366.0
