구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,195985.0,9313.0,197296.0,19906.0
대손상각(환입),17479.0,12164.0,-740.0,-10552.0
제각,-1573.0,-1017.0,-83.0,-39.0
기타,493.0,22.0,-488.0,-2.0
기말,212384.0,20482.0,195985.0,9313.0
