구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,802934.0,0.0,2666926.0,1463.0
종속기업,Samsung Electronics America(SEA),12625057.0,0.0,8170.0,0.0
종속기업,Samsung (China) Investment(SCIC),755971.0,0.0,9741.0,0.0
종속기업,Samsung Semiconductor(SSI),13432528.0,0.0,235801.0,407.0
종속기업,Samsung Electronics Europe Holding(SEEH),1722.0,0.0,0.0,0.0
종속기업,Samsung (China) Semiconductor(SCS),11448.0,82794.0,877508.0,0.0
종속기업,Samsung Electronics Vietnam(SEV),2107558.0,3382.0,12310566.0,1183.0
종속기업,Samsung Austin Semiconductor(SAS),294.0,40692.0,2429796.0,53217.0
종속기업,Samsung Telecommunications America(STA),17984552.0,0.0,244663.0,0.0
종속기업,Samsung Electronics Huizhou(SEHZ),1402115.0,0.0,11856829.0,1361.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),926470.0,3086.0,4587605.0,0.0
종속기업,Samsung Electronica da Amazonia(SEDA),1479617.0,0.0,12453.0,0.0
종속기업,Samsung Asia Private(SAPL),1323833.0,0.0,11512.0,0.0
종속기업,Samsung India Electronics(SIEL),2043478.0,0.0,204332.0,0.0
종속기업,Shanghai Samsung Semiconductor(SSS),6810676.0,0.0,0.0,0.0
종속기업,Tianjin Samsung Telecom Technology(TSTC),1372924.0,0.0,3702903.0,865.0
종속기업,Samsung Electronics Slovakia(SESK),457253.0,1.0,4176.0,0.0
종속기업,Samsung Suzhou LCD(SSL),8220.0,0.0,0.0,0.0
종속기업,Thai Samsung Electronics(TSE),1723724.0,55.0,1779344.0,1343.0
종속기업,Samsung Electronics Europe Logistics(SELS),4220655.0,0.0,7944.0,0.0
종속기업,Samsung Electronics Taiwan(SET),2994614.0,0.0,1180.0,0.0
종속기업,Samsung Electronics Hungarian(SEH),236956.0,0.0,831.0,2.0
종속기업,Samsung Electronics (UK)(SEUK),1588985.0,0.0,73317.0,0.0
종속기업,Samsung Electronics Benelux(SEBN),648780.0,0.0,0.0,0.0
종속기업,Samsung Electronics GmbH(SEG),3102459.0,0.0,54141.0,0.0
종속기업,기타,42663263.0,13113.0,23147234.0,9372.0
종속기업,종속기업 계,120726086.0,143123.0,64226972.0,69213.0
