과 목,주석,제 47 (당) 기,제 47 (당) 기_2,제 46 (전) 기,제 46 (전) 기_2
Ⅰ. 매 출 액,,,135205045.0,,137825547.0
Ⅱ. 매 출 원 가,25,,99659336.0,,99188713.0
Ⅲ. 매 출 총 이 익,,,35545709.0,,38636834.0
판매비와관리비,"25, 26",22147494.0,,24711840.0,
Ⅳ. 영 업 이 익,,,13398215.0,,13924994.0
기 타 수 익,27,1543190.0,,3507303.0,
기 타 비 용,27,792058.0,,706929.0,
금 융 수 익,28,4917385.0,,4289118.0,
금 융 비 용,28,4714115.0,,3733845.0,
Ⅴ. 법인세비용차감전순이익,,,14352617.0,,17280641.0
법 인 세 비 용,29,2114148.0,,2688860.0,
Ⅵ. 당 기 순 이 익,,,12238469.0,,14591781.0
Ⅶ. 주 당 이 익,30,,,,
기본주당이익(단위:원),,,82682.0,,96784.0
희석주당이익(단위:원),,,82680.0,,96779.0
