0,1,2,3,4,5,6,7
감사참여자  ＼ 인원수 및 시간,감사참여자  ＼ 인원수 및 시간,품질관리 검토자 (심리실 등),감사업무 담당 회계사,감사업무 담당 회계사,감사업무 담당 회계사,전산감사ㆍ 세무ㆍ 가치평가 등 전문가,합계
감사참여자  ＼ 인원수 및 시간,감사참여자  ＼ 인원수 및 시간,품질관리 검토자 (심리실 등),담당이사 (업무수행이사),등록 공인회계사,수습 공인회계사,전산감사ㆍ 세무ㆍ 가치평가 등 전문가,합계
투입 인원수,투입 인원수,2.0,1.0,39.0,12.0,52.0,106.0
투입시간,분ㆍ반기검토,30.0,225.0,15109.0,4163.0,5298.0,24825.0
투입시간,감사,118.0,209.0,11935.0,1897.0,4944.0,19103.0
투입시간,합계,148.0,434.0,27044.0,6060.0,10242.0,43928.0
