기업명,자산,부채,매출액,당기순이익(손실)
삼성디스플레이,37939965.0,6728991.0,24980628.0,1698239.0
Samsung Electronics America(SEA),10697787.0,5409749.0,14076007.0,-80403.0
Samsung (China) Investment(SCIC),9603679.0,7830941.0,16451983.0,162677.0
Samsung Electronics Europe Holding(SEEH),7022746.0,5062988.0,0.0,93605.0
Samsung (China) Semiconductor(SCS),6765278.0,3911166.0,877508.0,166754.0
Samsung Electronics Huizhou(SEHZ),4966486.0,1258635.0,17166345.0,829880.0
Samsung Electronica da Amazonia(SEDA),3797166.0,1330302.0,7936105.0,887715.0
Samsung Asia Private(SAPL),3110433.0,671729.0,1423212.0,1057873.0
Samsung India Electronics(SIEL),2949605.0,1776936.0,6849389.0,428757.0
Shanghai Samsung Semiconductor(SSS),2560852.0,2120738.0,13331324.0,125239.0
Tianjin Samsung Telecom Technology(TSTC),2316054.0,789395.0,11413234.0,510357.0
Samsung Electronics Slovakia(SESK),1869697.0,405089.0,4248232.0,142416.0
Thai Samsung Electronics(TSE),1654988.0,307109.0,4442707.0,202647.0
Samsung Electronics Europe Logistics(SELS),1621583.0,1524468.0,13320129.0,38209.0
Samsung Electronics Taiwan(SET),1583027.0,1299330.0,4472432.0,44559.0
