과 목,제 47 (당) 기,제 47 (당) 기_2,제 46 (전) 기,제 46 (전) 기_2
Ⅰ. 미처분이익잉여금,,12089583.0,,14516403.0
1. 전기이월이익잉여금,30.0,,30.0,
"2. 중간배당액  당기 - 주당배당금(률) : 1,000원(20%)  전기 - 주당배당금(률) : 500원(10%)",-148916.0,,-75408.0,
3. 당기순이익,12238469.0,,14591781.0,
Ⅱ. 이익잉여금처분액,,12089553.0,,14516373.0
1. 기업합리화적립금,3000000.0,,4000000.0,
"2. 배당금  주당배당금(률)  당기 - 보통주 : 20,000원(400%)  우선주 : 20,050원(401%)  전기 - 보통주 : 19,500원(390%)  우선주 : 19,550원(391%)",2919821.0,,2924564.0,
3. 연구및인력개발준비금,5000000.0,,6000000.0,
4. 시설적립금,1169732.0,,1591809.0,
Ⅲ. 차기이월미처분이익잉여금,,30.0,,30.0
