구분,삼성카드,삼성전기,삼성에스디에스
수익(매출),3521846.0,7143746.0,7897748.0
계속영업손익(*),656025.0,502704.0,412880.0
기타포괄손익(*),-387559.0,-65510.0,-83938.0
총포괄손익(*),268466.0,437194.0,328942.0
