구분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산,,금융자산,,금융자산
현금및현금성자산,3062960.0,(*),1643318.0,(*)
단기금융상품,27763589.0,(*),26454093.0,(*)
단기매도가능금융자산,3021210.0,3021210,2137533.0,2137533
매출채권,20251464.0,(*),18940786.0,(*)
장기매도가능금융자산,3205283.0,3205283,7106234.0,7106234
기타,3847347.0,3726699,4884383.0,4861921
소계,61151853.0,,61166347.0,
금융부채,,금융부채,,금융부채
매입채무,3887983.0,(*),4677527.0,(*)
단기차입금,7127527.0,(*),2928182.0,(*)
미지급금,5834965.0,(*),6358319.0,(*)
유동성장기부채,5666.0,(*),5304.0,(*)
사채,62326.0,93661,63648.0,84792
장기미지급금,2163903.0,2026498,2305055.0,2390956
기타,3335895.0,(*),6952651.0,(*)
소계,22418265.0,,23290686.0,
