구분,삼성카드(*),삼성전기,삼성에스디에스
유동자산,19070997.0,2729853.0,3681352.0
비유동자산,19070997.0,4539482.0,2486390.0
유동부채,12382672.0,1768136.0,1225978.0
비유동부채,12382672.0,1185816.0,164913.0
순자산,6688325.0,4315383.0,4776851.0
