기업명,당기말 | 보유주식수(주),당기말 | 지분율(%),당기말 | 취득원가,당기말 | 장부가액,전기말 | 장부가액
기협기술금융,1000000.0,17.2,5000.0,5000.0,5000.0
부산신항만,1135307.0,1.0,5677.0,5677.0,5677.0
삼성벤처투자,980000.0,16.3,4900.0,7207.0,6586.0
태원전기산업,45000.0,15.0,16544.0,15860.0,17094.0
기타,0.0,,119260.0,54469.0,47576.0
계,,,151381.0,88213.0,81933.0
