구 분,DX 부문,DS 부문,계(*)
매출액,107675342.0,94373136.0,199744705.0
감가상각비,537479.0,19457650.0,20164109.0
무형자산상각비,1382922.0,891431.0,2391770.0
영업이익,6389720.0,25592201.0,31993162.0
