금융자산,당기,전기
기초,120347.0,130242.0
매도,-12720.0,-912.0
당기손익으로 인식된 손익,-108.0,0.0
기타포괄손익으로 인식된 손익,22926.0,2736.0
기타,-13719.0,-11719.0
기말,116726.0,120347.0
