구 분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,64364.0,574443.0
관계기업 및 공동기업,삼성전기㈜,2415.0,108103.0
관계기업 및 공동기업,삼성SDI㈜,113845.0,54076.0
관계기업 및 공동기업,㈜제일기획,59.0,421901.0
관계기업 및 공동기업,기타,192550.0,166311.0
관계기업 및 공동기업,계,373233.0,1324834.0
그 밖의 특수관계자,삼성물산㈜,195355.0,1640615.0
그 밖의 특수관계자,기타,15839.0,125470.0
그 밖의 특수관계자,계,211194.0,1766085.0
기타(*3),삼성엔지니어링㈜,289.0,1099881.0
기타(*3),㈜에스원,2058.0,29620.0
기타(*3),기타,4286.0,56476.0
기타(*3),계,6633.0,1185977.0
