기업명,당기말 | 보유주식수(주),당기말 | 시장가치,당기말 | 장부가액,전기말 | 시장가치,전기말 | 장부가액
삼성카드,43393170.0,1338679.0,1455485.0,1917978.0,1455485.0
삼성전기,17693084.0,1112895.0,445244.0,967812.0,445244.0
삼성에스디에스,17472110.0,4437916.0,560827.0,5128064.0,560827.0
