구분,삼성카드,삼성전기,삼성에스디에스
수익(매출),3274150.0,6704699.0,7853459.0
계속영업손익(*),333724.0,11188.0,439020.0
기타포괄손익(*),86666.0,-176581.0,70670.0
총포괄손익(*),420390.0,-165393.0,509690.0
