구분,기업명,채권 등,채무 등
종속기업,삼성디스플레이,66715.0,170584.0
종속기업,Samsung Electronics America(SEA),2048116.0,83574.0
종속기업,Samsung (China) Investment(SCIC),53257.0,1548.0
종속기업,Samsung Semiconductor(SSI),2557253.0,142030.0
종속기업,Samsung Electronics Europe Holding(SEEH),3988.0,0.0
종속기업,Samsung (China) Semiconductor(SCS),31386.0,380942.0
종속기업,Samsung Electronics Vietnam(SEV),315779.0,233287.0
종속기업,Samsung Austin Semiconductor(SAS),19409.0,293235.0
종속기업,Samsung Telecommunications America(STA),3387650.0,72413.0
종속기업,Samsung Electronics Huizhou(SEHZ),164206.0,780154.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),363275.0,150136.0
종속기업,Samsung Electronica da Amazonia(SEDA),206198.0,2707.0
종속기업,Samsung Asia Private(SAPL),80995.0,15062.0
종속기업,Samsung India Electronics(SIEL),984352.0,56825.0
종속기업,Shanghai Samsung Semiconductor(SSS),1261644.0,686.0
