해외종속기업,보증처,보증종료일,당기말 | 관련 차입금,당기말 | 채무보증한도
SETK,BNP 외,2023-12-16,303386.0,984692.0
SEDAM,Citibank 외,2023-12-16,197405.0,680540.0
SETK-P,BNP 외,2023-12-16,32506.0,164749.0
SEIL,Citibank,2023-12-16,12248.0,19770.0
기타,기타,-,0.0,8474399.0
계,,,,
