구 분,토지,건물및구축물,기계장치,기타,계
기초장부금액,2593.0,144615.0,70429.0,188236.0,405873.0
일반취득,91.0,446071.0,4674.0,992.0,451828.0
감가상각,-405.0,-80085.0,-36065.0,-9617.0,-126172.0
계약의 해지,0.0,-28.0,0.0,-1131.0,-1159.0
기타,0.0,-45.0,0.0,0.0,-45.0
기말장부금액,2279.0,510528.0,39038.0,178480.0,730325.0
