구 분,당기말 | 주식수(주),당기말 | 시장가치,당기말 | 장부금액,전기말 | 시장가치,전기말 | 장부금액
삼성전기㈜,17693084.0,2308947.0,445244.0,3494384.0,445244.0
삼성에스디에스㈜,17472110.0,2149070.0,560827.0,2734385.0,560827.0
삼성바이오로직스㈜,22217309.0,18240411.0,1595892.0,18815659.0,443193.0
삼성SDI㈜,13462673.0,7956440.0,1242605.0,8818051.0,1242605.0
㈜제일기획,29038075.0,669328.0,491599.0,663520.0,491599.0
