구 분,당기말 | 매출채권,당기말 | 미수금,전기말 | 매출채권,전기말 | 미수금
채권액,20720707.0,2945898.0,33353467.0,1855136.0
차감: 손실충당금,-56432.0,-6387.0,-56610.0,-4397.0
소 계,20664275.0,2939511.0,33296857.0,1850739.0
차감: 장기 채권,-161052.0,-14505.0,-208610.0,-18251.0
유동항목,20503223.0,2925006.0,33088247.0,1832488.0
