구분,일자,참석자,방식,주요 논의 내용
1,2022년 04월 26일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 4명,대면회의,연간 지배기구와의 커뮤니케이션 계획 연간 회계감사 일정 계획 분기 검토 경과 및 비감사업무 독립성 확인
2,2022년 07월 26일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 4명,대면회의,연간 감사계획 및 진행 상황 핵심감사사항 선정계획 내부회계관리제도 감사 진행 상황 분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
3,2022년 10월 25일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 4명,대면회의,연간 감사계획 및 진행 상황 핵심감사사항 선정내역 내부회계관리제도 감사 진행 상황 분기 중점 검토사항 및 기타 필수 커뮤니케이션 사항
4,2023년 01월 27일,감사위원회: 위원 3명 회사: 감사팀장 감사인: 업무수행이사 외 4명,대면회의,핵심감사사항 등 중점 감사사항 내부회계관리제도 감사 진행 상황 기타 감사종료단계 필수 커뮤니케이션 사항
