금융자산,상각후원가 측정 금융자산,기타포괄손익-공정 가치 측정 금융자산,당기손익-공정가치 측정 금융자산,계
현금및현금성자산,3918872.0,0.0,0.0,3918872.0
단기금융상품,15000576.0,0.0,0.0,15000576.0
매출채권,33088247.0,0.0,0.0,33088247.0
기타포괄손익-공정가치금융자산,0.0,1662532.0,0.0,1662532.0
당기손익-공정가치금융자산,0.0,0.0,2135.0,2135.0
기타,5076418.0,0.0,0.0,5076418.0
계,57084113.0,1662532.0,2135.0,58748780.0
